SampleID,userID,join,Collection_Date,Time,Station,Cast,Niskin,Bottle,Depth,Latitude,Longitude,Volume (ml),Size_fraction,Start filter,End filter,Category1,Region,Project_Count,Project,NE?,Priority,DNA_Extraction_date,Protocol,Volume_Extracted_ul,Nanodrop_ng.ul,ND260.280,ND260.230,Total_ng,comments,nifH PCR,DNA extract found?,BioProject,Sample Name,SRA Study,NewID
Turk020.60875,60875,60875,8/23/14,6:10:00,37,1,21,5,25,33.8698,-128.799,2000,0.2,7:20:00,7:45:00,Transect Zehr NEMO,CCS eddies,48,"Transect overview, may be used for Nutrient effect project and for other projects",NA,1,3/31/15,Qiacube,94,-1.1,3.97,0.14,NA,NA,y,NA,NEMO,60875,NEMO,Turk020.60875
Turk029.60883,60883,60883,8/23/14,6:10:00,37,1,12,13,113,33.8698,-128.799,2000,0.2,7:20:00,7:45:00,Transect Zehr NEMO,CCS eddies,48,"Transect overview, may be used for Nutrient effect project and for other projects",NA,1,4/1/15,Qiacube and manual,95,14.6,1.79,3.13,NA,ON 4/1/15 QIAcube had error during run.Lilac column dropped.Protocol had gotten through sample 1 at step 4i.I removed all 12 samples from QIAcube and continued manual protocol through to end.,y,NA,NEMO,60883,NEMO,Turk029.60883
Turk038.60909,60909,60909,8/24/14,12:08:00,40,1,21,5,25,32.7932,-130.534,2000,0.2,13:35:00,14:10:00,Transect Zehr NEMO,Transect,48,"Transect overview, may be used for Nutrient effect project and for other projects",NA,1,4/1/15,Qiacube and manual,95,21.7,2.06,4.72,NA,ON 4/1/15 QIAcube had error during run.Lilac column dropped.Protocol had gotten through sample 1 at step 4i.I removed all 12 samples from QIAcube and continued manual protocol through to end.,y,NA,NEMO,60909,NEMO,Turk038.60909
Turk046.60917,60917,60917,8/24/14,12:08:00,40,1,11,13,100,32.7932,-130.534,2000,0.2,14:25:00,14:45:00,Transect Zehr NEMO,Transect,48,"Transect overview, may be used for Nutrient effect project and for other projects",NA,1,4/1/15,Qiacube and manual,95,28.1,1.65,1.18,NA,ON 4/1/15 QIAcube had error during run.Lilac column dropped.Protocol had gotten through sample 1 at step 4i.I removed all 12 samples from QIAcube and continued manual protocol through to end.,y,NA,NEMO,60917,NEMO,Turk046.60917
Turk054.64160,64160,64160,8/26/14,18:00:00,44,1,NA,21,25,27.8395,-137.17,4000,Sterivex,19:10:00,19:25:00,Transect MA NEMO,Transect,48,"Transect overview, may be used for Nutrient effect project and for other projects",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,y,NA,NEMO,64160,NEMO,Turk054.64160
Turk062.64275,64275,64275,8/26/14,18:00:00,44,1,8,23,135,27.8395,-137.17,4000,Sterivex,19:10:00,19:25:00,Transect MA NEMO,Transect,48,"Transect overview, may be used for Nutrient effect project and for other projects",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,y,NA,NEMO,64275,NEMO,Turk062.64275
Turk003.64283,64283,64283,8/27/14,6:01:00,46,1,19,21,25,26.5433,-138.514,4000,Sterivex,7:00:00,7:17:00,Transect MA NEMO,Transect,48,"Transect overview, may be used for Nutrient effect project and for other projects",NA,2,NA,NA,NA,NA,NA,NA,NA,NA,y,NA,NEMO,64283,NEMO,Turk003.64283
Turk012.64287,64287,64287,8/27/14,6:01:00,46,1,4,25,145,26.5433,-138.514,4000,Sterivex,7:05:00,7:25:00,Transect MA NEMO,Transect,48,"Transect overview, may be used for Nutrient effect project and for other projects",NA,2,NA,NA,NA,NA,NA,NA,NA,NA,y,NA,NEMO,64287,NEMO,Turk012.64287
Turk021.64291,64291,64291,8/27/14,18:00:00,48,1,17/18,21,25,25.5403,-139.504,4000,Sterivex,19:00:00,19:20:00,Transect MA NEMO,Transect,48,"Transect overview, may be used for Nutrient effect project and for other projects",NA,2,NA,NA,NA,NA,NA,NA,NA,NA,y,NA,NEMO,64291,NEMO,Turk021.64291
Turk030.64295,64295,64295,8/27/14,18:00:00,48,1,8-Jul,25,125,25.5403,-139.504,4000,Sterivex,19:00:00,19:20:00,Transect MA NEMO,Transect,48,"Transect overview, may be used for Nutrient effect project and for other projects",NA,2,NA,NA,NA,NA,NA,NA,NA,NA,y,NA,NEMO,64295,NEMO,Turk030.64295
Turk039.61091,61091,61091,8/28/14,12:01:00,51,1,14,6,25,26.4943,-140.25,2000,0.2,13:00:00,13:30:00,Transect Zehr NEMO,Transect,81,Bloom at critical latitude,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,y,NA,NEMO,61091,NEMO,Turk039.61091
Turk047.61099,61099,61099,8/28/14,12:01:00,51,1,8,14,135,26.4943,-140.25,2000,0.2,13:00:00,13:30:00,Transect Zehr NEMO,Transect,81,Bloom at critical latitude,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,y,NA,NEMO,61099,NEMO,Turk047.61099
Turk004.61107,61107,61107,8/28/14,18:00:00,52,1,21,6,25,27.2813,-140.382,2000,0.2,19:15:00,19:40:00,Transect Zehr NEMO,Transect,81,Bloom at critical latitude,NE8,2,4/1/15,Qiacube and manual,95,24.3,1.89,2.6,NA,NA,y,NA,NEMO,61107,NEMO,Turk004.61107
Turk055.61107B,61107,61107,8/28/14,18:00:00,52,1,21,6,25,27.2813,-140.382,2000,0.2,19:15:00,19:40:00,Transect Zehr NEMO,Transect,81,Bloom at critical latitude,NE8,2,4/1/15,Qiacube and manual,95,24.3,1.89,2.6,NA,NA,y,NA,NEMO,61107,NEMO,Turk004.61107
Turk013.61115,61115,61115,8/28/14,18:00:00,52,1,9,14,130,27.2813,-140.382,2000,0.2,19:20:00,19:45:00,Transect Zehr NEMO,Transect,81,Bloom at critical latitude,NE8,2,4/1/15,Qiacube and manual,95,14.7,2.01,2.99,NA,NA,y,NA,NEMO,61115,NEMO,Turk013.61115
Turk063.61115B,61115,61115,8/28/14,18:00:00,52,1,9,14,130,27.2813,-140.382,2000,0.2,19:20:00,19:45:00,Transect Zehr NEMO,Transect,81,Bloom at critical latitude,NE8,2,4/1/15,Qiacube and manual,95,14.7,2.01,2.99,NA,NA,y,NA,NEMO,61115,NEMO,Turk013.61115
Turk022.61155,61155,61155,8/29/14,14:30:00,55,1,21,8,25,28.4988,-140.616,2000,0.2,15:25:00,15:45:00,Transect Zehr NEMO,Bloom 1,81,Bloom at critical latitude,NA,1,4/1/15,Qiacube and manual,95,26,1.94,3.07,NA,NA,y,NA,NEMO,61155,NEMO,Turk022.61155
Turk031.61159,61159,61159,8/29/14,14:30:00,55,1,18,12,50,28.4988,-140.616,2000,0.2,15:25:00,15:45:00,Transect Zehr NEMO,Bloom 1,81,Bloom at critical latitude,NA,1,4/8/15,Qiacube,100,28.9,1.88,1,NA,NA,y,NA,NEMO,61159,NEMO,Turk031.61159
Turk040.61167,61167,61167,8/29/14,14:30:00,55,1,9,21,115,28.4988,-140.616,2000,0.2,15:25:00,15:45:00,Transect Zehr NEMO,Bloom 1,81,Bloom at critical latitude,NA,1,4/8/15,Qiacube,100,22,1.92,0.81,NA,NA,y,NA,NEMO,61167,NEMO,Turk040.61167
Turk048.61197,61197,61197,8/30/14,0:45:00,59,1,22,21,25,29.217,-140.716,1500,0.2,0:35:00,1:45:00,Transect Zehr NEMO,Bloom 1,81,Bloom at critical latitude,NA,1,4/8/15,Qiacube,100,24,1.83,0.8,NA,NA,y,NA,NEMO,61197,NEMO,Turk048.61197
Turk056.61198,61198,61198,8/30/14,0:45:00,59,1,19,22,50,29.217,-140.716,1500,0.2,0:35:00,1:45:00,Transect Zehr NEMO,Bloom 1,81,Bloom at critical latitude,NA,1,4/8/15,Qiacube,100,40.1,2.09,1.67,NA,NA,y,NA,NEMO,61198,NEMO,Turk056.61198
Turk064.61199,61199,61199,8/30/14,0:45:00,59,1,11,23,115,29.217,-140.716,1500,0.2,0:35:00,1:45:00,Transect Zehr NEMO,Bloom 1,81,Bloom at critical latitude,NA,1,4/8/15,Qiacube,100,27.8,1.97,1.08,NA,NA,y,NA,NEMO,61199,NEMO,Turk064.61199
Turk005.61293,61293,61293,8/30/14,21:30:00,67,1,18 and 19,20,25,28.817,-141.583,4000,0.2,22:30:00,23:00:00,Transect MA NEMO,Bloom 1,81,Bloom at critical latitude,NA,1,4/10/15,Qiacube,94,40.6,2.01,3.95,NA,2 x 0.2 filters,y,NA,NEMO,61293,NEMO,Turk005.61293
Turk014.61297,61297,61297,8/30/14,21:30:00,67,1,9 and 10,24,112,28.817,-141.583,4000,0.2,22:30:00,23:00:00,Transect MA NEMO,Bloom 1,81,Bloom at critical latitude,NA,1,4/10/15,Qiacube,94,23,2.09,-33.6,NA,2 x 0.2 filters,y,NA,NEMO,61297,NEMO,Turk014.61297
Turk023.61301,61301,61301,8/30/14,21:30:00,67,1,13,1,45,28.817,-141.583,2000,0.2,22:30:00,23:00:00,Transect Zehr NEMO,Bloom 1,81,Bloom at critical latitude,NA,1,4/10/15,Qiacube,94,15.9,2.05,-3.69,NA,NA,y,NA,NEMO,61301,NEMO,Turk023.61301
Turk032.61380,61380,61380,8/31/14,21:30:00,75,1,21,6,25,28.8133,-143.218,2000,0.2,22:40:00,23:15:00,Transect Zehr NEMO,Bloom 1,81,Bloom at critical latitude,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,y,NA,NEMO,61380,NEMO,Turk032.61380
Turk041.61388,61388,61388,8/31/14,21:30:00,75,1,9,14,125,28.8133,-143.218,2000,0.2,22:40:00,23:15:00,Transect Zehr NEMO,Bloom 1,81,Bloom at critical latitude,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,y,NA,NEMO,61388,NEMO,Turk041.61388
Turk049.61424,61424,61424,9/1/14,18:00:00,79,1,19,2,25,28.8472,-145.336,2000,0.2,18:45:00,19:00:00,Transect Zehr NEMO,Bloom 1,81,Bloom at critical latitude,NA,1,4/14/15,Qiacube,96,25.1,1.64,2.96,NA,NA,y,NA,NEMO,61424,NEMO,Turk049.61424
Turk057.61432,61432,61432,9/1/14,18:00:00,79,1,7,10,135,28.8472,-145.336,2000,0.2,18:45:00,19:00:00,Transect Zehr NEMO,Bloom 1,81,Bloom at critical latitude,NA,1,4/14/15,Qiacube,96,14.6,1.53,3.26,NA,NA,y,NA,NEMO,61432,NEMO,Turk057.61432
Turk065.61484,61484,61484,9/2/14,18:00:00,83,1,19,6,25,29.5112,-147.451,2000,0.2,19:00:00,19:25:00,Transect Zehr NEMO,Transect,16,Nutrient effect to go together with Experiments,NE9,1,4/14/15,Qiacube,96,31.2,1.78,3.41,NA,NA,y,NA,NEMO,61484,NEMO,Turk065.61484
Turk006.61492,61492,61492,9/2/14,18:00:00,83,1,9,14,130,29.5112,-147.451,2000,0.2,19:00:00,19:25:00,Transect Zehr NEMO,Transect,16,Nutrient effect to go together with Experiments,NE9,1,4/14/15,Qiacube,96,28.5,1.71,4.43,NA,NA,y,NA,NEMO,61492,NEMO,Turk006.61492
Turk015.61600,61600,61600,9/4/14,6:00:00,88,1,18 and 19,21,25,30.3282,-150.24,4000,0.2,7:01:00,7:40:00,Transect MA NEMO,Bloom 2,11,"Another bloom, diel1 Here",NA,1,4/21/15,Qiacube,95,28.6,1.74,2.46,NA,2 x 0.2 filters,y,NA,NEMO,61600,NEMO,Turk015.61600
Turk024.61604,61604,61604,9/4/14,6:00:00,88,1,10 and 11,25,95,30.3282,-150.24,4000,0.2,7:01:00,7:40:00,Transect MA NEMO,Bloom 2,11,"Another bloom, diel1 Here",NA,1,4/21/15,Qiacube,95,22.5,1.84,3.9,NA,NA,y,NA,NEMO,61604,NEMO,Turk024.61604
Turk033.61837,61837,61837,9/7/14,21:28:00,101,1,20,5,25,29.9138,-150.278,2000,0.2,10:40:00,11:05:00,Transect Zehr NEMO,Transect,16,Nutrient effect to go together with Experiments,NE10,1,4/22/15,Qiacube,100,1.54,-1.95,18.2,NA,NA,y,NA,NEMO,61837,NEMO,Turk033.61837
Turk042.61845,61845,61845,9/7/14,21:28:00,101,1,11,13,100,29.9138,-150.278,2000,0.2,10:40:00,11:05:00,Transect Zehr NEMO,Transect,16,Nutrient effect to go together with Experiments,NE10,1,4/22/15,Qiacube,100,1.96,-1.22,13.8,NA,NA,y,NA,NEMO,61845,NEMO,Turk042.61845
Turk050.61868,61868,61868,9/8/14,12:00:00,103,1,19,6,25,28.5653,-150.376,2000,0.2,1:00:00,1:30:00,Tery bloom,Tery,48,"Transect overview, may be used for Nutrient effect project and for other projects",NA,1,4/22/15,Qiacube,100,1.83,36.2,24.6,NA,NA,y,NA,NEMO,61868,NEMO,Turk050.61868
Turk058.61876,61876,61876,9/8/14,12:00:00,103,1,7,14,130,28.5653,-150.376,2000,0.2,1:00:00,1:30:00,Tery bloom,Tery,48,"Transect overview, may be used for Nutrient effect project and for other projects",NA,1,4/22/15,Qiacube,100,1.89,-4.71,22.4,NA,NA,y,NA,NEMO,61876,NEMO,Turk058.61876
Turk066.61972,61972,61972,9/9/14,12:00:00,107,1,17,6,25,25.3768,-150.989,2000,0.2,13:05:00,13:34:00,Tery bloom,Tery,48,"Transect overview, may be used for Nutrient effect project and for other projects",NA,1,4/24/15,Qiacube,100,2.21,-1.01,14.9,NA,NA,y,NA,NEMO,61972,NEMO,Turk066.61972
Turk007.61980,61980,61980,9/9/14,12:00:00,107,1,9,14,130,25.3768,-150.989,2000,0.2,13:05:00,13:34:00,Tery bloom,Tery,48,"Transect overview, may be used for Nutrient effect project and for other projects",NA,1,4/24/15,Qiacube,100,2.08,-11.68,10,NA,NA,y,NA,NEMO,61980,NEMO,Turk007.61980
Turk016.62051,62051,62051,9/10/14,10:40:00,112,1,17,6,25,23.7673,-151.516,2000,0.2,12:00:00,12:35:00,Transect Zehr NEMO,Hawaii eddies,32,"Eddies: physics to biology, but also Trichodesmium is here",NA,2,NA,NA,NA,NA,NA,NA,NA,NA,y,NA,NEMO,62051,NEMO,Turk016.62051
Turk025.62059,62059,62059,9/10/14,10:40:00,112,1,8,14,125,23.7673,-151.516,2000,0.2,12:00:00,12:35:00,Transect Zehr NEMO,Hawaii eddies,32,"Eddies: physics to biology, but also Trichodesmium is here",NA,2,NA,NA,NA,NA,NA,NA,NA,NA,y,NA,NEMO,62059,NEMO,Turk025.62059
Turk034.64519,64519,64519,9/11/14,19:30:00,127,1,20,21,25,24.4827,-152.951,4000,Sterivex,20:50:00,21:20:00,Diel 2,Diel,48,"Transect overview, may be used for Nutrient effect project and for other projects",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,y,NA,NEMO,64519,NEMO,Turk034.64519
Turk043.64524,64524,64524,9/11/14,19:30:00,127,1,12,26,96,24.4827,-152.951,4000,Sterivex,20:50:00,21:20:00,Diel 2,Diel,48,"Transect overview, may be used for Nutrient effect project and for other projects",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,y,NA,NEMO,64524,NEMO,Turk043.64524
Turk051.64631,64631,64631,9/15/14,15:30:00,128,3,18,21,25,21.684,-158.633,4000,Sterivex,16:40:00,17:00:00,Transect MA NEMO,Transect,48,"Transect overview, may be used for Nutrient effect project and for other projects",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,y,NA,NEMO,64631,NEMO,Turk051.64631
Turk059.64634,64634,64634,9/15/14,15:30:00,128,3,10,26,120,21.684,-158.633,4000,Sterivex,16:40:00,17:00:00,Transect MA NEMO,Transect,48,"Transect overview, may be used for Nutrient effect project and for other projects",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,y,NA,NEMO,64634,NEMO,Turk059.64634
Turk067.64223,64223,64223,8/24/14,NA,38,NA,NA,NA,25,33.502,-129.37,4000,NA,NA,NA,NE7 T0,NE7,NA,NA,NE7,NA,NA,NA,NA,NA,NA,NA,NA,NA,y,NA,NEMO,64223,NEMO,Turk067.64223
